HCD,CE,CECOM,59.0
2,4.2185,1.3581187253917213,395836151.0
3,4.3927,1.4142012860088216,387648559.0
4,4.5668999999999995,1.4702838466259218,386833695.0
6,4.9153,1.5824489678601228,478207360.0
7,5.0895,1.6385315284772233,608297462.0
8,5.2637,1.6946140890943235,738107788.0
9,5.4379,1.7506966497114238,788171430.0
10,5.6121,1.806779210328524,745565486.0
11,5.7863,1.8628617709456246,710238882.0
12,5.9605,1.9189443315627248,644544020.0
13,6.1347,1.975026892179825,577958729.0
14,6.3088999999999995,2.0311094527969256,540540118.0
15,6.4831,2.0871920134140263,441768993.0
16,6.657299999999999,2.143274574031126,375687775.0
17,6.8315,2.199357134648227,319684041.0
19,7.1799,2.3115222558824273,199063013.5
20,7.3541,2.3676048164995276,154976644.5
21,7.5283,2.423687377116628,123452911.0
22,7.7025,2.4797699377337286,92648097.5
23,7.8767,2.535852498350829,69117681.75
24,8.050899999999999,2.5919350589679286,52875091.625
25,8.2251,2.6480176195850293,40187501.5
26,8.3993,2.70410018020213,30862207.875
27,8.5735,2.76018274081923,22479907.6875
28,8.7477,2.8162653014363306,17778566.25
29,8.9219,2.8723478620534313,13029526.90625
30,9.0961,2.928430422670531,9761243.125
31,9.270299999999999,2.9845129832876314,7450728.4375
32,9.4445,3.040595543904732,5569941.8125
33,9.6187,3.096678104521833,4282175.71875
34,9.7929,3.1527606651389326,3021510.1328125
35,9.967099999999999,3.208843225756033,2440232.8359375
36,10.1413,3.264925786373133,1883095.78125
37,10.3155,3.321008346990234,1528006.96875
38,10.4897,3.377090907607334,1201249.80859375
39,10.6639,3.4331734682244344,1047555.73828125
41,11.0123,3.5453385894586353,708816.958984375
42,11.186499999999999,3.601421150075735,629749.625
