HCD,CE,CECOM,135.1
1,4.0443,0.6945756364590524,21.907173184712356
2,4.2185,0.7244930698520171,17.90522518769915
3,4.3927,0.7544105032449817,18.785108455289148
4,4.5668999999999995,0.7843279366379463,19.91782257671567
5,4.741099999999999,0.814245370030911,18.719215210835348
6,4.9153,0.8441628034238757,19.74511547503996
7,5.0895,0.8740802368168404,16.338011464266106
8,5.2637,0.903997670209805,5.4614987682530725
9,5.4379,0.9339151036027696,1.8891496164578054
10,5.6121,0.9638325369957343,0.9269258689068394
11,5.7863,0.9937499703886989,0.25653891517683414
12,5.9605,1.0236674037816635,0.1396205155380621
13,6.1347,1.0535848371746281,0.034889081110511914
14,6.3088999999999995,1.083502270567593,0.012890432307896249
15,6.4831,1.1134197039605576,0.0
16,6.657299999999999,1.1433371373535222,0.0
17,6.8315,1.173254570746487,0.0
19,7.1799,1.2330894375324162,0.0
20,7.3541,1.2630068709253808,0.0
21,7.5283,1.2929243043183454,0.0
22,7.7025,1.3228417377113102,0.0
23,7.8767,1.3527591711042748,0.0
24,8.050899999999999,1.3826766044972392,0.0
25,8.2251,1.412594037890204,0.0
26,8.3993,1.4425114712831688,0.0
27,8.5735,1.4724289046761334,0.004326352750482056
28,8.7477,1.502346338069098,0.0
29,8.9219,1.5322637714620628,0.0
30,9.0961,1.5621812048550274,0.0
31,9.270299999999999,1.5920986382479918,0.0
32,9.4445,1.6220160716409566,0.0
33,9.6187,1.6519335050339214,0.0
34,9.7929,1.6818509384268858,0.0
35,9.967099999999999,1.7117683718198504,0.0
36,10.1413,1.7416858052128152,0.0
37,10.3155,1.77160323860578,0.0
38,10.4897,1.8015206719987444,0.0
39,10.6639,1.8314381053917093,0.0
41,11.0123,1.8912729721776385,0.0
42,11.186499999999999,1.921190405570603,0.0
