HCD,CE,CECOM,59.0492,135.1017
1,4.0443,0.6945683975303328,912430.306640625,1692619.73046875
5,4.741099999999999,0.8142368838936431,865208.4970703125,1588799.232421875
10,5.6121,0.9638224918477811,831036.4458007812,1380863.0009765625
15,6.4831,1.1134080998019191,3192311.3671875,2208913.169921875
20,7.3541,1.262993707756057,3996345.19140625,1132276.193359375
25,8.2251,1.412579315710195,1695680.8852539062,215490.5675048828
30,9.0961,1.562164923664333,2477562.990234375,134492.46759033203
35,9.967099999999999,1.7117505316184705,1948751.439453125,28179.249084472656
40,10.8381,1.8613361395726087,1549701.494140625,507.2525329589844
50,12.580099999999998,2.1605073554808842,1476627.05859375,0.0
80,17.8061,3.0580210032057122,692238.3125,0.0
