HCD,CE,CECOM,215.1256,173.066,117.0398,115.02,103.02,77.0,66.38,58.99
1,4.0443,0.465966355130193,99.99935812366888,0.0,0.0,0.0005523862746327322,0.0,0.0,8.949005647761935e-05,0.0
10,5.6121,0.6466013356146073,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,7.3541,0.8473068694861787,99.98382074961629,0.015586352343808743,0.0,0.0,0.0,0.0,0.0005928980399001314,0.0
30,9.0961,1.0480124033577503,99.87989865715505,0.11371795727028898,0.006383385574660556,0.0,0.0,0.0,0.0,0.0
40,10.8381,1.2487179372293218,98.99526741071747,0.7137727637155813,0.29056084795547005,0.0,0.0,0.0,0.000398977611467966,0.0
50,12.580099999999998,1.4494234711008929,90.86106917210243,5.543160520490958,3.595770307406617,0.0,0.0,0.0,0.0,0.0
60,14.322099999999999,1.6501290049724644,45.44137423015396,24.835312110060524,29.72331365978551,0.0,0.0,0.0,0.0,0.0
70,16.0641,1.850834538844036,5.700381787203012,29.242550565386566,65.05706764741042,0.0,0.0,0.0,0.0,0.0
80,17.8061,2.0515400727156075,0.04099216550078151,17.699835620821048,82.25481476055862,0.0,0.004357453119560571,0.0,0.0,0.0
90,19.548099999999998,2.2522456065871785,0.0,8.99581669115249,90.97920722174561,0.024976087101906772,0.0,0.0,0.0,0.0
100,21.2901,2.45295114045875,0.0,3.0887140190122673,96.91128598098774,0.0,0.0,0.0,0.0,0.0
150,30.0001,3.4564788098166073,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
