HCD,CE,CECOM,135.1017,117.0912
1,4.0443,0.6945683975303328,47.36679652139298,52.633203478607015
5,4.741099999999999,0.8142368838936431,47.429646173932554,52.57035382606745
10,5.6121,0.9638224918477811,46.279195417235854,53.720804582764146
15,6.4831,1.1134080998019191,36.04834173304249,63.95165826695751
20,7.3541,1.262993707756057,27.57990456917821,72.42009543082179
25,8.2251,1.412579315710195,22.0847732720441,77.9152267279559
30,9.0961,1.562164923664333,16.706417474846262,83.29358252515374
35,9.967099999999999,1.7117505316184705,8.302749932295477,91.69725006770453
40,10.8381,1.8613361395726087,0.36213537860035133,99.63786462139966
50,12.580099999999998,2.1605073554808842,0.0,100.0
80,17.8061,3.0580210032057122,0.0,0.0
