HCD,CE,CECOM,77.0598,89.0598,59.0492,135.1017,117.0912
1,4.0443,0.6945683975303328,19.00636140522898,9.81407539394171,14.478020624437338,26.857704296650592,29.84383827974138
5,4.741099999999999,0.8142368838936431,18.882833892608105,9.822103561959935,14.634624058629269,26.87384549488922,29.78659299191347
10,5.6121,0.9638224918477811,19.152210180950917,10.243002583879093,15.380913913475977,25.557164251513548,29.666709070180463
15,6.4831,1.1134080998019191,21.115834221160362,13.614705175961827,22.35638340969762,15.46945271476191,27.443624478418275
20,7.3541,1.262993707756057,21.316438934064536,15.649710609630846,31.09253656580737,8.809383889140806,23.13193000135644
25,8.2251,1.412579315710195,20.175472741735007,16.953680368266777,39.90714654462935,5.071481156146323,17.892219189222548
30,9.0961,1.562164923664333,18.865682260984816,16.38388218874388,48.87083188233535,2.65291288211638,13.226690785819573
35,9.967099999999999,1.7117505316184705,16.928013014239376,14.953159426405938,58.014893395651335,0.8389043869360593,9.265029776767287
40,10.8381,1.8613361395726087,14.403650179390015,12.92427154101475,66.64797796218114,0.021815398491732477,6.002284918922356
50,12.580099999999998,2.1605073554808842,10.482936914214465,8.037363119219606,79.83924109199792,0.0,1.640458874568014
80,17.8061,3.0580210032057122,0.23461209815305728,0.14483479984391145,99.62055310200303,0.0,0.0
